#,Station,Country,Lat,Lon,Power,Plugs
1,Ionity Parndorf,Austria,47.9759,16.8544,350,6.0
2,Ionity St. Lorenzen,Austria,47.4687,15.3441,350,6.0
3,Ionity Ansfelden,Austria,48.2110,14.2795,350,6.0
4,Ionity Eberstalzell,Austria,48.0392,13.9907,350,6.0
5,Ionity Meggenhofen,Austria,48.1834,13.7853,350,12.0
6,Ionity St. Georgen,Austria,47.9294,13.5009,350,6.0
7,IONITY HPC Kärntner Straße,Austria,46.5667,13.8095,350,1.0
8,IONITY Charging Station Triebe,Austria,47.4902,14.4854,350,6.0
9,IONITY Steinhäusl,Austria,48.1578,15.9404,350,4.0
10,Wirtschaftspark West,Austria,47.3740,16.0937,350,6.0
11,IONITY Nassereith,Austria,47.3273,10.8193,350,4.0
12,IONITY St. Valentin,Austria,48.1964,14.5282,350,6.0
13,IONITY Mondsee,Austria,47.8367,13.3958,350,6.0
14,IONITY Klösterle,Austria,47.1291,10.0606,350,4.0
15,IONITY Kaiserwald,Austria,46.9592,15.3820,350,6.0
16,IONITY Innerbraz,Austria,47.1409,9.9245,350,4.0
17,IONITY Hohenems,Austria,47.3662,9.6592,350,4.0
18,IONITY Hochleithen,Austria,48.4253,16.5478,350,4.0
19,IONITY Göttlesbrunn,Austria,48.0562,16.7120,350,4.0
20,IONITY Grafenstein,Austria,46.6397,14.4514,350,4.0
21,IONITY Golling,Austria,47.5848,13.1579,350,4.0
22,IONITY Eisentratten,Austria,46.9199,13.5793,350,6.0
23,IONITY Angath Nord,Austria,47.5192,12.0655,350,4.0
24,Electra charging station ,Belgium,51.2096,3.2550,400,1.0
25,Ionity Massenhoven,Belgium,51.2039,4.6473,350,6.0
26,Allego,Belgium,51.0335,3.7566,400,6.0
27,IONITY Living Tomorrow Brussel,Belgium,50.9087,4.3863,350,4.0
28,Natiënlaan,Belgium,51.3270,3.2960,350,1.0
29,Powerland Ultra Fast EV Chargi,Belgium,50.9645,3.5488,350,1.0
30,Ionity Wellin,Belgium,50.0785,5.1319,350,6.0
31,IONITY Wetteren Zuid,Belgium,50.9695,3.8412,350,4.0
32,IONITY Wetteren Noord,Belgium,50.9707,3.8442,350,4.0
33,IONITY Froyennes Sud,Belgium,50.6191,3.3412,350,4.0
34,IONITY Froyennes Nord,Belgium,50.6196,3.3389,350,4.0
35,IONITY Le Roeulx / Thieu Sud,Belgium,50.4874,4.0962,350,4.0
36,IONITY Veurne,Belgium,51.0644,2.6736,350,4.0
37,IONITY Tignee,Belgium,50.6555,5.7109,350,6.0
38,Eneco @ ACB Delta Volvo,Belgium,50.8181,4.4051,400,2.0
39,IONITY Le Roeulx / Thieu Nord,Belgium,50.4911,4.0957,350,4.0
40,IONITY Bierset,Belgium,50.6519,5.4736,350,4.0
41,Snowball,Belgium,50.8227,3.3111,350,2.0
42,Zona za biznes APOLO Sunny bea,Bulgaria,42.6878,27.6955,360,2.0
43,Evroserviz LTD,Bulgaria,42.4477,27.3948,360,2.0
44,Одрин,Bulgaria,42.5096,27.4519,360,2.0
45,Ionity Rascane,Croatia,43.3204,17.1662,350,4.0
46,Electrip Jankomir,Croatia,45.7965,15.8594,400,6.0
47,Ionity Gospic,Croatia,44.5764,15.3943,350,6.0
48,IONITY Roses Outlet,Croatia,46.0864,15.9128,350,6.0
49,IONITY Kanfanar,Croatia,45.1121,13.8025,350,4.0
50,Porsche Jankomir,Croatia,45.7984,15.8580,350,2.0
51,IONITY Charging Station Zadar ,Croatia,44.1142,15.4074,350,4.0
52,IONITY Sop,Croatia,45.7838,16.1512,350,4.0
53,Ionity Ostrava,Czech Republic,49.7999,18.2250,350,6.0
54,IONITY Lovosice,Czech Republic,50.5118,14.0526,350,4.0
55,IONITY Ladna (dir. Bratislava),Czech Republic,48.8097,16.8927,350,4.0
56,Innogy Tábor,Czech Republic,49.3885,14.6932,400,1.0
57,IONITY Nupaky,Czech Republic,49.9844,14.6026,350,2.0
58,IONITY Pávov (dir. Prague),Czech Republic,49.4551,15.5933,350,2.0
59,Ionity Pávov (dir. Brno),Czech Republic,49.4538,15.5915,350,2.0
60,IONITY Beroun (dir. Prague),Czech Republic,49.9558,14.0628,350,4.0
61,Skovboulevarden,Denmark,54.7684,11.8766,400,2.0
62,Ionity Mors,Denmark,56.7887,8.8296,350,8.0
63,Ionity Korsør,Denmark,55.3539,11.1417,350,16.0
64,Ionity Billund,Denmark,55.7363,9.1002,350,8.0
65,Supercharger Silkeborg Aps,Denmark,56.1853,9.5790,400,8.0
66,IONITY Vordingborg,Denmark,54.9977,12.0009,350,6.0
67,IONITY Aabenraa,Denmark,55.0650,9.3663,350,6.0
68,IONITY Fredericia,Denmark,55.5370,9.7178,350,6.0
69,IONITY Greve,Denmark,55.5847,12.2576,350,12.0
70,IONITY Nyborg,Denmark,55.3092,10.8049,350,6.0
71,IONITY Skanderborg,Denmark,56.0681,9.9784,350,6.0
72,IONITY Nørager,Denmark,56.7829,9.6951,350,6.0
73,IONITY Märjamaa,Estonia,58.9213,24.4576,350,2.0
74,IONITY Häädemeeste,Estonia,58.0744,24.5122,350,2.0
75,Neste Lataus Kerava ,Finland,0.0000,0.0000,400,6.0
76,Neste Lataus Espoo Muurala,Finland,60.2186,24.6365,400,6.0
77,Neste Lataus Sipoo Sipoonlahti,Finland,60.2856,25.3309,400,6.0
78,Neste Loviisa Ankkurituuli,Finland,60.4591,26.1927,400,6.0
79,Neste Oulunbaari Maikkula,Finland,64.9783,25.5608,400,6.0
80,IONITY Karisto,Finland,60.9835,25.7373,350,2.0
81,IONITY Tiiriö,Finland,61.0085,24.4197,350,2.0
82,IONITY Paimio,Finland,60.4264,22.7226,350,2.0
83,Sant-André-Les-Vergers (Zunder,France,48.2697,4.0534,400,4.0
84,Jean Chaubet,France,43.6066,1.4837,400,1.0
85,Ionity Waregem,France,50.8984,3.4030,350,3.0
86,Ionity Nieppe,France,50.6867,2.8403,350,4.0
87,Ionity Vivonne,France,46.4323,0.2639,350,6.0
88,Ionity Rochefort,France,45.9555,-0.9778,350,6.0
89,Ionity Authezat,France,45.6422,3.1842,350,10.0
90,Ionity Bergerac,France,44.8347,0.4479,350,4.0
91,Aire de Porte des Landes Est (,France,44.3608,-0.8501,400,16.0
92,IONITY Montelimar Ouest 2,France,44.5165,4.7818,350,6.0
93,IONITY Montelimar Est 2,France,44.5146,4.7830,350,6.0
94,Ionity Messancy,France,49.6116,5.8128,350,6.0
95,Ionity Burnhaupt,France,47.7403,7.1474,350,6.0
96,Ionity Sierentz,France,47.6669,7.4421,350,6.0
97,Ionity Lauragais,France,43.4002,1.7034,350,6.0
98,Ionity Farebersviller,France,49.1112,6.8583,350,6.0
99,Ionity Frouard,France,48.7427,6.1493,350,12.0
100,Ionity Dommartin,France,48.6728,5.9253,350,12.0
101,Ionity Dijon Sud,France,47.2719,5.0458,350,6.0
102,Ionity Hanches,France,48.5941,1.6776,350,6.0
103,Ionity Val Neuvy,France,48.2711,1.8562,350,6.0
104,Ionity Plaines de Beauce,France,48.2751,1.8561,350,6.0
105,Ionity Plouer sur Rance,France,48.5308,-2.0128,350,6.0
106,Ionity Saint Brieuc,France,48.4808,-2.6752,350,6.0
