route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access
NICE Expressway,,motorway,0.26,Short (<100km),78.25,0.9301,Good,True,TN_to_KA,No major waypoints identified,12.9385,77.5319,12.9406,77.533,3.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.41,Short (<100km),78.25,0.9298,Good,True,TN_to_KA,No major waypoints identified,12.9401,77.5329,12.9366,77.5317,3.0,80.0,asphalt,yes,yes
Electronic City Elevated Expressway,,motorway,0.05,Short (<100km),78.21,0.9284,Good,True,TN_to_KA,No major waypoints identified,12.9097,77.6274,12.9093,77.6276,2.0,60.0,asphalt,,
Electronic City Elevated Expressway,,motorway,0.04,Short (<100km),78.21,0.9283,Good,True,TN_to_KA,No major waypoints identified,12.9093,77.6275,12.9096,77.6272,2.0,40.0,asphalt,,
NICE Expressway,,motorway,0.04,Short (<100km),78.21,0.9283,Good,True,TN_to_KA,No major waypoints identified,12.9382,77.5317,12.9385,77.5319,4.0,80.0,asphalt,yes,yes
NICE Expressway,,motorway,0.18,Short (<100km),78.2,0.928,Good,True,TN_to_KA,No major waypoints identified,12.9367,77.5312,12.9382,77.5317,4.0,80.0,asphalt,yes,yes
Electronic City Elevated Expressway,,motorway,0.18,Short (<100km),78.2,0.928,Good,True,TN_to_KA,No major waypoints identified,12.9079,77.6283,12.9093,77.6275,2.0,60.0,asphalt,,
Electronic City Elevated Expressway,,motorway,0.18,Short (<100km),78.2,0.928,Good,True,TN_to_KA,No major waypoints identified,12.9093,77.6276,12.9079,77.6284,2.0,60.0,asphalt,,
NICE Expressway,,motorway,0.01,Short (<100km),78.18,0.9273,Good,True,TN_to_KA,No major waypoints identified,12.9366,77.5317,12.9365,77.5317,4.0,80.0,asphalt,yes,yes
NICE Expressway,,motorway,0.2,Short (<100km),78.18,0.9272,Good,True,TN_to_KA,No major waypoints identified,12.9365,77.5317,12.9347,77.5314,4.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.01,Short (<100km),78.17,0.9269,Good,True,TN_to_KA,No major waypoints identified,12.9366,77.5312,12.9367,77.5312,4.0,80.0,asphalt,yes,yes
NICE Expressway,,motorway,0.21,Short (<100km),78.17,0.9268,Good,True,TN_to_KA,No major waypoints identified,12.9347,77.5313,12.9366,77.5312,4.0,80.0,concrete,yes,yes
Electronic City Elevated Expressway,,motorway,8.27,Short (<100km),78.16,0.9264,Good,True,TN_to_KA,No major waypoints identified,12.8467,77.6699,12.9079,77.6283,2.0,60.0,asphalt,,
Electronic City Elevated Expressway,,motorway,1.93,Short (<100km),78.16,0.9264,Good,True,TN_to_KA,No major waypoints identified,12.9079,77.6284,12.893,77.6376,2.0,60.0,asphalt,,
NICE Expressway,,motorway,0.08,Short (<100km),78.15,0.926,Good,True,TN_to_KA,No major waypoints identified,12.934,77.5313,12.9347,77.5313,2.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.07,Short (<100km),78.14,0.9258,Good,True,TN_to_KA,No major waypoints identified,12.934,77.5314,12.9333,77.5315,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,0.07,Short (<100km),78.14,0.9257,Good,True,TN_to_KA,No major waypoints identified,12.9333,77.5314,12.934,77.5313,2.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.57,Short (<100km),78.14,0.9255,Good,True,TN_to_KA,No major waypoints identified,12.9333,77.5315,12.9282,77.5319,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,0.57,Short (<100km),78.13,0.9254,Good,True,TN_to_KA,No major waypoints identified,12.9282,77.5318,12.9333,77.5314,2.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.03,Short (<100km),78.08,0.9231,Good,True,TN_to_KA,No major waypoints identified,12.9282,77.5319,12.928,77.5319,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,0.03,Short (<100km),78.08,0.923,Good,True,TN_to_KA,No major waypoints identified,12.9279,77.5318,12.9282,77.5318,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,1.38,Short (<100km),78.07,0.923,Good,True,TN_to_KA,No major waypoints identified,12.928,77.5319,12.9156,77.5315,2.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,1.37,Short (<100km),78.07,0.9229,Good,True,TN_to_KA,No major waypoints identified,12.9156,77.5314,12.9279,77.5318,2.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.01,Short (<100km),77.89,0.9154,Good,True,TN_to_KA,No major waypoints identified,12.9156,77.5315,12.9155,77.5314,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,0.01,Short (<100km),77.88,0.9154,Good,True,TN_to_KA,No major waypoints identified,12.9155,77.5313,12.9156,77.5314,2.0,80.0,concrete,yes,yes
NICE Expressway,,motorway,0.82,Short (<100km),77.88,0.9153,Good,True,TN_to_KA,No major waypoints identified,12.9155,77.5314,12.9087,77.5287,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,0.91,Short (<100km),77.88,0.9153,Good,True,TN_to_KA,No major waypoints identified,12.908,77.5281,12.9155,77.5313,2.0,80.0,concrete,yes,yes
Goraguntepalya Flyover,,motorway,0.1,Short (<100km),77.86,0.9145,Good,True,TN_to_KA,No major waypoints identified,13.0325,77.5337,13.0321,77.5345,2.0,,asphalt,,
Goraguntepalya Flyover,,motorway,0.09,Short (<100km),77.86,0.9145,Good,True,TN_to_KA,No major waypoints identified,13.032,77.5343,13.0324,77.5336,2.0,,asphalt,,
Goraguntepalya Flyover,,motorway,4.41,Short (<100km),77.84,0.9138,Good,True,TN_to_KA,No major waypoints identified,13.0324,77.5336,13.0488,77.4969,2.0,120.0,asphalt,,
Goraguntepalya Flyover,,motorway,4.39,Short (<100km),77.84,0.9138,Good,True,TN_to_KA,No major waypoints identified,13.0489,77.4971,13.0325,77.5337,2.0,120.0,asphalt,,
Electronic City Elevated Expressway,,motorway,4.3,Short (<100km),77.75,0.9102,Good,True,TN_to_KA,No major waypoints identified,12.893,77.6376,12.8612,77.6602,2.0,60.0,asphalt,,
NICE Expressway,,motorway,0.1,Short (<100km),77.73,0.9093,Good,True,TN_to_KA,No major waypoints identified,12.9087,77.5287,12.9079,77.5282,2.0,80.0,,yes,
NICE Expressway,,motorway,0.04,Short (<100km),77.71,0.9085,Good,True,TN_to_KA,No major waypoints identified,12.9079,77.5282,12.9076,77.528,2.0,80.0,concrete,yes,
NICE Expressway,,motorway,0.05,Short (<100km),77.71,0.9085,Good,True,TN_to_KA,No major waypoints identified,12.9076,77.5279,12.908,77.5281,2.0,80.0,concrete,yes,
Chennai Bypass,,motorway,0.1,Short (<100km),77.71,0.9084,Good,True,Within_TN,CHENNAI,13.1524,80.2101,13.1516,80.2098,,,,,
Chennai Bypass,,motorway,0.82,Short (<100km),77.71,0.9084,Good,True,Within_TN,CHENNAI,13.1516,80.2098,13.1472,80.2043,3.0,,asphalt,,
Chennai Bypass,,motorway,0.14,Short (<100km),77.71,0.9084,Good,True,Within_TN,CHENNAI,13.1473,80.2043,13.1477,80.2055,,,,,
Chennai Bypass,,motorway,0.67,Short (<100km),77.71,0.9084,Good,True,Within_TN,CHENNAI,13.1477,80.2055,13.1516,80.2097,3.0,40.0,asphalt,,
