resource_type,name,city_region,latitude,longitude,industrial_type,landuse,power_type,operator,voltage,address,website,phone,description
33KV Substation,BMTC Substation,Bengaluru,12.95432,77.594061,Electrical Infrastructure - Grid Substation,industrial,substation,KPTCL,66000,,,,Industrial facility in Bengaluru - potential 33KV+ connection
33KV Substation,Brigade Tech Gardens Brookefield,Bengaluru,12.963809,77.72243,Electrical Infrastructure - Grid Substation,industrial,substation,Karnataka Power Transmission Corporation Limited,66000;11000,,,,Industrial facility in Bengaluru - potential 33KV+ connection
33KV Substation,Harohalli Industrial Area Substation,Bengaluru,12.642089,77.427033,Electrical Infrastructure - Grid Substation,industrial,substation,KPTCL,220000;66000,,,,Industrial facility in Bengaluru - potential 33KV+ connection
33KV Substation,Manyata Substation,Bengaluru,13.052833,77.614993,Electrical Infrastructure - Grid Substation,industrial,substation,KPTCL,220000;66000,,,,Industrial facility in Bengaluru - potential 33KV+ connection
33KV Substation,Peenya Substation,Bengaluru,13.028514,77.526247,Electrical Infrastructure - Grid Substation,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
33KV Substation,Yelahanka,Bengaluru,13.098659,77.570317,Electrical Infrastructure - Grid Substation,industrial,substation,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
33KV Substation,TNEB Substation,Chennai,12.984842,80.25078,Electrical Infrastructure - Grid Substation,industrial,,,,,,,Industrial facility in Chennai - potential 33KV+ connection
Industrial Zone,40MLD Tertiary Treatment Plant,Bengaluru,13.162304,77.706508,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,5MLD STP,Bengaluru,12.969576,77.456993,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,5MLD Sewage Treatment Plant,Bengaluru,12.962278,77.583446,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,703,Bengaluru,12.869072,77.663297,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,7STP-6,Bengaluru,12.917755,77.444657,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,A K N Enterprises,Bengaluru,12.779319,77.639911,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,AFCONS,Bengaluru,12.993692,77.65267,Energy Infrastructure,industrial,,BMRCL,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,AFCONS Casting Yard,Bengaluru,12.915273,77.758519,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,AG Engineering,Bengaluru,13.033834,77.526856,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,AGC-MSI Consortium,Bengaluru,12.992889,77.651645,Energy Infrastructure,industrial,,BMRCL,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,ALIMCO,Bengaluru,13.037604,77.537862,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,APMC Lorry Stand,Bengaluru,13.022811,77.53391,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,APMC Market,Bengaluru,12.658844,77.213016,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,APMC Yard,Bengaluru,13.312195,77.538795,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,AS Engineering,Bengaluru,13.035077,77.526271,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,ASD Industries,Bengaluru,13.0337,77.527204,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,ASR Engineering Equipments,Bengaluru,13.033947,77.527408,Energy Infrastructure,,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
Industrial Zone,Ace Forge Pvt Ltd,Bengaluru,12.778525,77.633731,Energy Infrastructure,industrial,,,,,,,Industrial facility in Bengaluru - potential 33KV+ connection
