ID,Name,Type,Operator,Access,Latitude,Longitude,Power_kW,Voltage,Capacity,Socket_Types,Street,City,Postcode,Country,Opening_Hours,OSM_Link
4737832345,E-HDT Charging Station,private,Westfalen Weser Ladeservice,,51.7259854,8.7568771,,500,2,,,,,Germany,,https://www.openstreetmap.org/node/4737832345
4792967492,E-HDT Charging Station,private,EnBW Energie Baden-Württemberg AG,yes,47.6765619,9.3182271,,,2,ccs: 1; chademo: 1; type2: 1,,,,Germany,,https://www.openstreetmap.org/node/4792967492
4995085425,Tripple Ladestation Elektroauto,private,Allego,,51.3720087,12.4764118,50 / 43 kW,,,chademo: 1; type2: 1; type2_combo: 1,,,,Germany,24/7,https://www.openstreetmap.org/node/4995085425
5166131027,E-HDT Charging Station,private,EWR,yes,49.6309344,8.3565648,,,3,chademo: 1; type2: 1; type2_combo: 1; type2_combo:output: 50 kW,,,,Germany,,https://www.openstreetmap.org/node/5166131027
5176771605,E-HDT Charging Station,private,Stadtwerke München,,48.1130233,11.5705159,22000,400,2,,,,,Germany,,https://www.openstreetmap.org/node/5176771605
5252751843,E-HDT Charging Station,private,Allego,yes,47.6640407,9.4826603,,,3,ccs: 1; ccs:output: 50 kW; chademo: 1; chademo:output: 50 kW; type2: 1; type2:output: 43 kW,,,,Germany,,https://www.openstreetmap.org/node/5252751843
5565139699,E-HDT Charging Station,private,Allego,,49.2120077,9.0775472,,800,2,type2_combo: 2; type2_combo:output: 320kW,Buchäckerring,Bad Rappenau,74906,Germany,24/7,https://www.openstreetmap.org/node/5565139699
5650490768,E-HDT Charging Station,private,Stadtwerke München,,48.1130515,11.5704039,22000,400,2,,,,,Germany,,https://www.openstreetmap.org/node/5650490768
5650490769,E-HDT Charging Station,private,Stadtwerke München,,48.1129959,11.570648,22000,400,2,,,,,Germany,,https://www.openstreetmap.org/node/5650490769
5833933054,E-HDT Charging Station,private,Allego,,53.9400469,10.8517332,,,3,ccs: 1; chademo: 1; type2: 1,,,,Germany,24/7,https://www.openstreetmap.org/node/5833933054
6124896312,Ionity Gruibingen Süd,private,Ionity,,48.6052595,9.6328183,,500,6,type2_combo: 6,,,,Germany,24/7,https://www.openstreetmap.org/node/6124896312
6308212646,E-HDT Charging Station,private,,customers,51.5899811,7.6492656,,500,,type2: 2,,,,Germany,Mo-Th 07:00-16:30;Fr 07:00-14:30,https://www.openstreetmap.org/node/6308212646
7695030904,E-HDT Charging Station,private,Lidl,yes,50.7492347,6.8493076,,,2,ccs: 1; ccs:output: 50 kW; chademo: 1; chademo:output: 50 kW; type2: 1; type2:output: 43 kW,Bonner Straße,Weilerswist,53919,Germany,Mo-Sa 07:00-21:00,https://www.openstreetmap.org/node/7695030904
7985038525,E-HDT Charging Station,private,Lidl,yes,51.5244352,7.1862193,,,3,ccs: 50 kW; chademo: 1; chademo:output: 50 kW; type2: 1; type2:output: 43 kW; type2_combo: 1; type2_combo:output: 50 kW,,,,Germany,,https://www.openstreetmap.org/node/7985038525
8168725684,E-HDT Charging Station,private,Stadtwerke Erfurt,,50.972895,10.9678522,,500,2,chademo: 1; chademo:current: 125; chademo:output: 50kW; type2_cable: 1; type2_cable:current: 63; type2_cable:output: 43kW; type2_combo: 1; type2_combo:current: 125; type2_combo:output: 50kW,,,,Germany,24/7,https://www.openstreetmap.org/node/8168725684
8168764986,E-HDT Charging Station,private,Stadtwerke Erfurt,,50.9728757,10.9678038,,500,2,chademo: 1; chademo:current: 125; chademo:output: 50kW; chademo:ref: DESWEE002702; type2_cable: 1; type2_cable:current: 63; type2_cable:output: 43kW; type2_cable:ref: DESWEE002701; type2_combo: 1; type2_combo:current: 125; type2_combo:output: 50kW; type2_combo:ref: DESWEE002702,,,,Germany,24/7,https://www.openstreetmap.org/node/8168764986
8206072463,E-HDT Charging Station,private,Allego,,49.2120345,9.0775234,,800,2,type2_combo: 2; type2_combo:output: 320kW,Buchäckerring,Bad Rappenau,74906,Germany,24/7,https://www.openstreetmap.org/node/8206072463
8255719258,Lidl Atenser Allee,private,Lidl,,53.4991299,8.476734,,,2,ccs: 1; chademo: 1,,,,Germany,Mo-Sa 07:00-21:00,https://www.openstreetmap.org/node/8255719258
