route_name,ref_number,highway_type,distance_km,distance_category,quality_score,corridor_relevance,eHDT_suitability,is_major_highway,state_classification,key_waypoints,start_lat,start_lon,end_lat,end_lon,lanes,maxspeed,surface,toll,access,hdt_classification,hdt_suitable,hdt_priority,speed_limit_hdt,major_route,route_description,num_segments,consolidated,original_segments,estimated_hours,estimated_fuel_liters,route_id
Puttur - Satyavedu Road,SH,primary,371.71,Short (<100km),57.49,0.6685,Good,True,Within_TN,Industrial corridor route → Krishnagiri → CHITTOOR → KOLAR,13.3339,79.8918,13.3347,79.8916,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",71,True,71,6.2,62.0,1
Outer Ring Road,NH75,trunk,255.19,Short (<100km),68.99,0.927,Good,True,TN_to_KA,Bengaluru → Electronic City → BANGALORE → Industrial corridor route → BENGALURU,13.0428,77.5901,13.0426,77.5888,3.0,60.0,asphalt,,,national_highway,True,medium,80,NH75,"National Highways (NH), main HDT corridors",318,True,318,3.19,42.5,2
Dabaspete - Hosur Highway,NH648,trunk,214.53,Short (<100km),68.83,0.8304,Good,True,TN_to_KA,HOSUR → Bengaluru → Industrial corridor route,12.9848,77.7824,12.9812,77.7879,2.0,,asphalt,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",407,True,407,2.68,35.8,3
Grand Southern Trunk Road,NH32,trunk,132.29,Short (<100km),66.98,0.7924,Good,True,Within_TN,Chennai → Sriperumbudur → Industrial corridor route,12.9134,80.1015,12.9137,80.1015,4.0,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",97,True,97,1.65,22.0,4
Bengaluru Chennai Expressway,NE7,motorway,129.68,Short (<100km),71.69,0.7921,Good,True,TN_to_KA,"CHENNAI, BENGALURU → Bengaluru",13.0447,77.8247,13.045,77.8246,2.0,,asphalt,,,expressway,True,medium,100,,"Controlled-access expressways, fully HDT suitable",295,True,295,1.3,21.6,5
Krishnakiri - Madanapalle,NH42,trunk,126.78,Short (<100km),62.49,0.5394,Good,True,TN_to_KA,Krishnagiri → Industrial corridor route → CHENNAI,12.7207,78.3427,12.7409,78.3455,2.0,,,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",32,True,32,1.58,21.1,6
Singaperumalkoil - Sriperumbudur - Thiruvallur - Red Hills Road,SH57,primary,124.87,Short (<100km),63.74,0.8629,Good,True,Within_TN,Chennai → Sriperumbudur → Industrial corridor route,13.1964,80.1812,13.1945,80.1754,,,,,,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",62,True,62,2.08,20.8,7
Srinivaspur Mulbagal Road,NH69,trunk,122.18,Short (<100km),61.28,0.5461,Good,True,TN_to_KA,Industrial corridor route,13.1687,78.3617,13.2204,78.3177,2.0,60.0,asphalt,,,national_highway,True,medium,80,,"National Highways (NH), main HDT corridors",119,True,119,1.53,20.4,8
Outer Ring Road,SH234,motorway,121.42,Short (<100km),75.48,0.8524,Good,True,Within_TN,Chennai → Sriperumbudur,13.1819,80.1471,13.1818,80.147,3.0,100.0,,,,expressway,True,medium,100,,"Controlled-access expressways, fully HDT suitable",442,True,442,1.21,20.2,9
Magadi Road,SH85,primary,114.67,Short (<100km),66.09,0.9681,Good,True,TN_to_KA,Bengaluru → Electronic City → Hosur → Industrial corridor route → Krishnagiri,12.9759,77.5645,12.9758,77.5645,2.0,40.0,asphalt,,yes,state_highway,True,medium,60,,"State Highways (SH), HDT accessible",150,True,150,1.91,19.1,10
