Resource,Location,Address,Pincode,Coordinates,Mobile,Website
substation,Chennai,"HCL 110/33KV Sub Station, Elcot Sez, Sholinganallur, Chennai, Tamil Nadu 600119",600119,W648+F46,,
substation,Chennai,"230/33kV RA Puram Substation, Crescent Avenue Rd, Kesavaperumalpuram, Gandhi Nagar, Raja Annamalai Puram, Chennai, Tamil Nadu 600020",600020,27C3+QF2,,
substation,Chennai,"Mathur 110/33KV Substation, Bharathi Nagar, Mathur, Tamil Nadu 600051",600051,56FW+MWW,,
substation,Chennai,"TNEB 33/11 K.V. Sub Station, Hiranandani, Egattur, Tamil Nadu 600130",600130,R6PJ+G9X,,
substation,Chennai,"33KV GREAMS ROAD SUBSTATION, 21, Greams Ln, off Greams Road, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006",600006,,,
substation,Chennai,"Chennai, Tamil Nadu",,3753+7Q,,
substation,Chennai,"33kv AL electic Station  33 KV AL ELECTIC STATION, Sipcot Ph. I, Hosur, Tamil Nadu 635126",,QQ7P+4V8,,
substation,Bengaluru,"Baiyappanahalli 66KV/33KV substation, Old Madras Rd, Vishwa Vihar, Bennigana Halli, Bengaluru, Karnataka 560093",560093,XMR3+922,,
substation,Bengaluru,"Survey No. 136, 220/33kV BMRCL Nagavara Sub-Station, 5th Block, Ashwath Nagar, Kothanur, Bengaluru, Karnataka 560077",560077,,,
substation,Bengaluru,"Bengaluru, Karnataka",,2JVG+56,,
substation,Bengaluru,"KPTCL Sub Station, 8th Block, Lal Bahadur Shastri Nagar, Anjanapura, Karnataka 560108",560108,,Mob: 094495 96730,
substation,Bengaluru,"Vittalapura 33kV substation, Bellary - Hubli Rd, Karnataka 583115",,,,
substation,Bengaluru,"Vittalapur, Karnataka",,3QC3+J7,Mob: 085490 17937,
substation,Bengaluru,"33kv GIS Sub Station Vidyagiri, 33 GIS Sub-Station, Rajatagiri, Gandhinagar, Dharwad, Karnataka 580004",,,,Website: https://hescom.karnataka.gov.in/english
substation,Bengaluru,"Gudadur 33kV Substation, Ballari, Karnataka 583103",,8X8P+JPW,,
substation,Bengaluru,"HESCOM 33KV Substation siddar, Siddar - Kinnar Road, Kinner, Karnataka 581339",,R6X7+9FH,,
substation,Bengaluru,"33kv sub station Jalahally, SH 61, Jalahalli, Karnataka 584116",,9Q9G+GXC,,
substation,Bengaluru,"Sirigeri Cross 33kV substation, Sanavasapura, Karnataka 583120",,CW62+9XV,,
substation,Bengaluru,"33 KV GIS UNAKAL, Shivagiri, Sai Nagar, Hubballi, Karnataka 580021",,94C6+XMP,,
substation,Bengaluru,"Wind World 220/33 KV Substation, Karnataka 582103",,9H2H+QMW,,
substation,Bengaluru,"220/33kv Substation Sembcorp green infra energy, Kadapalakere, Karnataka 572141",,46H8+VQ,,
substation,Bengaluru,"Itagi 33kV substation, Sanapura, Karnataka 583113",,CMVC+8JQ,,
wind farm,Chennai,"657, National Institute of Wind Energy, 1A2, Velachery - Tambaram Main Rd, Pallikaranai Marshland, Pallikaranai, Chennai, Tamil Nadu 600100                    Chennai, Tamil Nadu",600100,X647+PC,Mob: 044 2246 3984,Website: https://niwe.res.in/
wind farm,Chennai,"7th Floor, Pioneer Wincon Energy Systems Pvt Ltd, SP) Developed Plots, TAMARAI TECH PARK, 16-20A, Jawaharlal Nehru Salai, Ramapuram, Guindy Industrial Estate, SIDCO Industrial Estate, Guindy, Chennai, Tamil Nadu 600032",600032,,,
wind farm,Chennai,"Chennai, Tamil Nadu",,2663+P6,Mob: 044 4341 4700,Website: http://pioneerwincon.com/
wind farm,Chennai,"Small Wind turbines Right Renewable Tech, 3Rd Floor ,TS116, Tiny Sector, Ekkatuthangal, Chennai, Tamil Nadu 600032",600032,,,
wind farm,Chennai,"Chennai, Tamil Nadu",,26F5+FP,,Website: https://rightrenewabletech.com/
wind farm,Chennai,"Siemens Gamesa Renewable Energy, Service Rd, Red Hills, Chennai, Tamil Nadu 600066",600066,,,
wind farm,Chennai,"Chennai, Tamil Nadu",,55JV+W7,Mob: 044 3098 9898,Website: https://www.siemensgamesa.com/global/en/home.html
wind farm,Chennai,"VICTORY WINDFARM SERVICES PVT. LTD.,, 9D, 1st Main Rd, Kamakoti Nagar, Pallikaranai, Chennai, Tamil Nadu 600100",600100,,Mob: 04255 266 334,Website: https://www.victorywind.in/
wind farm,Chennai,"INDOWIND ENERGY LTD, Kothari Buildings, 4th Floor, 114 MG ROAD, Nungambakkam, Chennai, Tamil Nadu 600034",600034,,,
wind farm,Chennai,"Chennai, Tamil Nadu",,365X+J9,Mob: 044 2833 1956,Website: https://indowind.co.in/
wind farm,Chennai,"Vaigunth Ener Tek (P) Ltd, C1/20, Snow Housing Flats,, Rajesh Nagar 1st Main Road,, Narayanapuram, Pallikaranai,, Chennai, Tamil Nadu 600100",600100,,,Website: https://www.v-enertek.com/
wind farm,Chennai,"7, Right renewable tech small wind turbines, Butt Road, 35-A, Chetty St, Chennai, Tamil Nadu 600016",600016,,,
wind farm,Chennai,"Chennai, Tamil Nadu",,36VH+H2,Mob: 098406 57313,
wind farm,Chennai,"Clarion Wind Farm Private Limited, 18/3, Rukmani Lakshmipathi Rd, Egmore, Chennai, Tamil Nadu 600008",600008,,,
wind farm,Chennai,"Chennai, Tamil Nadu",,3785+4X,,
wind farm,Chennai,"Emergya Wind Turbines Pvt Ltd, Iyyapa Nagar, Moolakazhani, Tamil Nadu 603202",,R35H+W3X,Mob: 334540520,Website: https://ewtdirectwind.com/
wind farm,Bengaluru,"Chauhan Wind Energy, 124, Om Sai Enclave, No. 5, 2nd Floor,, Seshadripuram Main Road,, Basngalore, Karnataka 560020",560020,,Mob: 094480 84166,
wind farm,Bengaluru,"Vinayaka Energy Tech, No.40-I2, 1st Cross, DDK Industrial Area, Whitefield Road, Bengaluru, Karnataka 560048",560048,,Mob: 092430 44893,Website: https://www.vinayakaenergytech.com/
wind farm,Bengaluru,"806, Suzlon Energy Limited, Prestige Towers, Kariyappa Road, Residency Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560025",560025,,Mob: 080 4632 5700,Website: https://www.suzlon.com/
